FL_X,FL_Y,FR_X,FR_Y,ML_X,ML_Y,MR_X,MR_Y,BL_X,BL_Y,BR_X,BR_Y
-1.88,1.34,-1.88,-1.34,-5.68,1.38,-5.68,-1.38,-7.04,0.74,-7.04,-1.38
-1.80,1.34,-1.80,-1.34,-5.60,1.38,-5.60,-1.38,-6.96,0.74,-6.96,-1.38
-1.76,1.34,-1.76,-1.34,-5.56,1.38,-5.56,-1.38,-6.92,0.74,-6.92,-1.38
-1.68,1.34,-1.68,-1.34,-5.48,1.38,-5.48,-1.38,-6.84,0.74,-6.84,-1.38
-1.64,1.34,-1.64,-1.34,-5.44,1.38,-5.44,-1.38,-6.80,0.74,-6.80,-1.38
-1.56,1.34,-1.56,-1.34,-5.36,1.38,-5.36,-1.38,-6.72,0.74,-6.72,-1.38
-1.48,1.34,-1.48,-1.34,-5.28,1.38,-5.28,-1.38,-6.64,0.74,-6.64,-1.38
-1.44,1.34,-1.44,-1.34,-5.24,1.38,-5.24,-1.38,-6.60,0.74,-6.60,-1.38
-1.36,1.34,-1.36,-1.34,-5.16,1.38,-5.16,-1.38,-6.52,0.74,-6.52,-1.38
-1.24,1.34,-1.24,-1.34,-5.04,1.38,-5.04,-1.38,-6.40,0.74,-6.40,-1.38
-1.20,1.34,-1.20,-1.34,-5.00,1.38,-5.00,-1.38,-6.36,0.74,-6.36,-1.38
-1.16,1.34,-1.16,-1.34,-4.96,1.38,-4.96,-1.38,-6.32,0.74,-6.32,-1.38
-1.08,1.34,-1.08,-1.34,-4.88,1.38,-4.88,-1.38,-6.24,0.74,-6.24,-1.38
-1.04,1.34,-1.04,-1.34,-4.84,1.38,-4.84,-1.38,-6.20,0.74,-6.20,-1.38
-0.96,1.34,-0.96,-1.34,-4.76,1.38,-4.76,-1.38,-6.12,0.74,-6.12,-1.38
-0.88,1.34,-0.88,-1.34,-4.68,1.38,-4.68,-1.38,-6.04,0.74,-6.04,-1.38
-0.84,1.34,-0.84,-1.34,-4.64,1.38,-4.64,-1.38,-6.00,0.74,-6.00,-1.38
-0.76,1.34,-0.76,-1.34,-4.56,1.38,-4.56,-1.38,-5.92,0.74,-5.92,-1.38
-0.68,1.34,-0.68,-1.34,-4.48,1.38,-4.48,-1.38,-5.84,0.74,-5.84,-1.38
-0.60,1.34,-0.60,-1.34,-4.40,1.38,-4.40,-1.38,-5.76,0.74,-5.76,-1.38
